battery_power,clock_speed,int_memory,m_dep,mobile_wt,n_cores,ram,talk_time,pixel_area,screen_area,total_camera_mp,blue,dual_sim,touch_screen,wifi,supports_3_4G,price_range
1391,1.4,36,0.8,182,1,3139,14,17584,98,8,0,0,1,0,1,2
1560,2.3,22,0.8,169,7,1938,16,1016180,165,1,0,0,1,1,1,2
821,1.8,54,0.1,109,3,3185,15,451858,32,14,0,1,0,0,1,2
811,2.4,2,0.3,106,6,2111,2,475857,126,18,1,1,0,1,1,1
1989,2.9,17,0.1,193,8,2369,18,428978,0,23,1,1,1,0,1,2
1034,2.7,37,0.7,120,7,3625,12,847693,17,26,1,1,1,1,0,3
618,2.1,6,0.3,86,1,1051,15,2218032,130,6,0,0,0,1,0,0
654,1.3,52,0.7,196,4,1036,13,3255070,68,4,1,0,0,0,1,1
576,2.8,10,0.2,184,5,2938,5,737694,0,9,1,0,1,1,1,2
667,0.6,3,0.7,185,6,2855,19,19019,0,19,1,0,0,1,1,2
869,1.0,57,0.6,118,1,2727,8,1968912,39,22,1,0,0,0,1,2
635,0.5,42,0.4,149,3,2973,18,317700,60,6,1,1,0,1,0,2
609,3.0,44,0.3,117,1,2581,15,72674,165,31,1,0,0,1,1,1
1557,2.8,2,0.1,123,5,2690,9,1596294,288,36,0,1,0,1,0,3
1604,1.7,33,1.0,191,8,916,12,125826,130,7,1,0,1,1,0,0
1182,0.5,8,0.5,138,8,2563,19,271150,323,23,0,0,0,0,1,2
848,2.1,19,0.8,148,7,3359,14,181104,0,28,1,1,0,0,1,2
1610,2.9,64,0.9,181,4,941,9,1582080,32,19,1,0,1,0,1,1
1828,2.1,17,0.9,199,1,2280,4,301728,238,1,1,1,0,0,0,2
880,2.0,50,0.5,194,7,827,6,1541196,135,4,0,1,0,1,1,0
1394,0.9,62,0.3,175,5,473,20,1580650,11,23,1,1,1,0,1,0
1960,2.3,61,0.3,86,7,3865,11,266295,70,4,1,1,0,0,1,3
809,0.8,21,0.9,91,7,1274,3,2507878,126,29,0,0,0,0,0,1
899,0.5,57,0.9,172,2,364,7,1048828,11,31,0,1,1,0,1,0
1976,0.7,32,0.8,171,2,3699,13,2500522,187,11,1,1,1,1,0,3
879,1.5,21,0.8,187,4,2927,11,480594,182,2,0,1,0,1,1,2
916,2.6,36,0.3,195,4,1470,14,186496,0,12,1,0,1,0,0,0
763,1.7,2,0.5,92,8,1050,8,1219208,24,22,0,1,1,0,1,0
508,1.6,9,0.4,162,6,2616,10,2724480,144,2,0,1,1,1,1,2
825,2.9,34,0.8,99,8,2915,10,2744886,16,17,0,1,1,0,1,3
1864,1.4,46,0.7,178,1,2686,18,164808,77,20,0,0,1,1,1,2
1725,0.5,52,1.0,185,6,1243,5,1344375,342,20,0,1,1,1,1,1
1108,2.9,52,0.1,183,2,3264,13,221780,16,22,1,0,1,1,0,3
1011,1.1,36,0.2,131,7,2261,16,360269,42,22,0,0,1,1,1,1
1703,1.5,55,0.7,138,5,2993,20,2414221,5,36,1,1,1,1,1,3
1067,1.7,58,0.5,135,7,706,16,53799,108,0,1,1,1,0,0,0
1334,2.4,42,0.6,115,5,2542,8,2343138,10,19,1,0,0,0,1,3
775,2.6,30,0.4,189,7,2523,9,847110,272,10,1,0,0,1,1,2
1899,0.6,26,0.1,151,2,336,4,78144,143,0,1,0,0,1,1,0
930,1.3,14,0.4,97,6,2457,17,78925,77,11,1,1,1,0,1,1
1058,1.5,19,0.4,166,4,418,16,614771,63,16,0,0,0,1,0,0
1187,2.2,46,0.4,145,2,3917,8,2127822,143,9,1,0,0,1,1,3
1874,2.7,8,0.9,166,7,1246,2,1188612,8,23,1,1,0,1,0,1
1482,0.5,48,0.2,142,7,2971,12,407028,96,12,0,0,1,1,1,2
1809,1.7,59,0.1,174,3,2324,16,460719,60,7,1,0,0,1,1,2
864,3.0,54,0.7,187,2,3121,16,212090,36,1,1,1,1,1,1,2
625,1.9,33,0.2,191,1,3801,2,237050,60,32,1,0,0,0,1,2
1880,1.8,18,0.7,138,3,3333,7,49629,255,9,1,0,0,0,1,3
1138,1.4,44,0.2,187,8,3475,3,126318,57,29,0,0,0,0,1,3
560,0.5,23,1.0,146,8,2360,18,677468,272,29,0,0,1,1,0,1
1117,0.5,12,0.6,144,7,2895,16,651966,42,9,0,0,1,0,1,2
1712,1.4,63,0.5,137,7,3652,19,841122,16,13,0,0,0,0,1,3
1836,1.7,26,0.1,134,6,3097,18,464712,0,19,1,1,1,0,0,3
1036,2.4,39,0.2,119,7,2101,2,345398,70,3,1,0,1,0,0,1
1860,2.3,23,0.6,162,4,3918,8,2051172,18,31,1,0,1,0,0,3
1375,1.1,9,0.9,145,7,3869,10,344850,342,22,1,0,1,1,1,3
1945,1.6,57,0.3,195,4,732,14,1302479,14,1,0,1,1,0,1,1
1896,0.5,7,0.4,141,2,3684,18,354918,63,21,0,1,0,0,1,3
788,2.5,57,0.9,91,8,3969,6,48762,96,16,0,1,1,1,1,3
880,1.7,33,0.7,173,2,1414,7,40500,12,2,1,1,1,0,1,0
1323,2.5,28,0.2,131,4,1892,15,100278,0,22,1,1,1,1,1,1
1868,2.0,42,0.2,169,1,3131,7,229020,24,4,0,1,1,1,1,3
1266,1.9,7,0.2,184,3,2532,4,507928,50,12,0,1,1,1,1,2
1042,2.7,50,0.8,93,7,3215,20,1239535,0,34,0,1,1,1,1,3
1479,0.5,19,0.6,156,3,3323,6,265680,156,18,0,0,0,1,1,3
1476,1.2,55,0.1,171,4,1529,3,2733906,104,5,1,1,0,1,1,2
1552,2.2,13,0.2,123,6,2403,9,275994,18,15,1,0,1,1,1,2
1454,0.5,34,0.7,83,4,3419,5,258250,35,4,1,1,1,0,1,3
1007,2.0,45,0.1,95,5,3648,16,1813394,0,2,0,0,0,0,0,3
652,2.4,17,0.7,173,5,1974,12,43043,120,20,1,1,0,0,1,0
1504,1.5,34,0.7,142,8,2806,7,493311,14,27,0,0,0,1,1,2
1726,0.9,51,0.6,193,4,2239,13,463517,117,5,1,1,0,1,1,2
1029,1.9,5,0.2,171,5,582,4,252384,105,13,1,1,1,1,1,0
1582,2.8,44,0.5,112,6,3890,10,2670342,170,15,0,0,1,1,1,3
1478,0.8,48,0.7,99,5,1141,6,612108,10,29,1,1,0,1,0,1
1178,1.3,49,0.6,101,5,2511,17,345084,18,0,1,0,0,0,0,2
707,2.1,25,0.8,131,3,3838,7,284130,18,19,0,1,0,1,1,3
755,2.8,51,0.3,186,4,2734,16,311850,10,17,1,0,0,1,1,2
912,2.0,54,0.3,161,8,2330,20,346437,95,6,1,0,1,0,0,1
651,0.8,63,0.2,176,5,2244,19,470184,126,6,1,1,1,0,1,1
1483,2.1,54,0.2,176,7,1851,2,402498,195,3,0,0,1,0,1,1
914,0.9,4,0.8,100,2,808,5,285545,77,14,1,0,1,0,1,0
1456,0.5,7,0.4,105,5,1587,20,908592,30,19,1,1,0,1,1,1
1178,2.2,57,0.3,84,3,2492,10,129792,224,23,0,1,1,0,1,2
1503,0.7,43,0.2,166,4,2122,2,1096664,15,24,1,0,0,0,1,2
1681,2.5,11,0.4,158,2,1122,16,234975,72,15,1,0,1,1,0,0
715,2.3,48,0.1,160,4,3709,10,11802,28,10,0,1,0,0,0,2
1876,2.8,56,0.4,182,3,3021,18,137475,24,7,0,1,0,0,1,2
1190,2.2,47,0.3,186,6,624,19,2041897,27,19,1,1,1,1,1,0
1755,1.3,24,0.1,134,7,3937,7,307450,8,2,1,0,0,1,1,3
1197,1.3,20,0.5,149,6,1797,4,1057221,95,10,0,0,1,1,1,1
1048,0.9,28,0.8,194,2,1458,15,1907850,5,29,1,0,0,1,1,1
1887,3.0,17,0.2,126,8,3348,16,2107256,288,13,1,1,1,0,1,3
1772,0.5,64,0.7,116,8,1834,20,147150,10,18,1,1,1,1,0,1
1421,2.8,57,0.4,165,1,2775,14,1294117,104,2,0,0,0,1,1,3
1464,0.5,17,0.7,153,6,1277,19,560538,78,8,0,1,0,0,1,1
728,2.3,23,0.8,111,4,457,16,102942,170,9,0,1,1,1,1,0
954,0.5,50,0.3,134,2,438,2,241224,0,11,1,0,0,0,1,0
685,0.5,13,0.8,82,7,3210,2,1312473,105,23,0,1,1,1,1,3
1472,2.8,36,0.5,130,6,985,7,2532288,132,11,0,1,1,0,1,1
853,2.0,3,0.6,200,2,3701,8,498760,120,26,1,0,1,0,1,3
1469,2.1,8,0.7,123,7,1052,3,450934,8,0,0,0,1,0,0,0
1310,2.3,57,0.9,135,8,1175,8,399161,0,15,1,1,0,0,0,0
1654,1.8,11,0.3,146,7,1070,14,2035296,8,3,0,0,1,1,1,1
902,0.7,3,0.3,134,7,3411,15,867375,132,12,1,0,0,1,0,3
1448,1.4,26,1.0,156,3,1175,6,3315200,108,29,0,1,1,0,0,1
1631,0.9,3,0.1,198,7,301,13,337185,65,14,0,1,0,0,1,0
1608,1.8,28,0.4,183,2,489,8,1173054,165,20,0,1,0,1,0,0
1991,2.7,64,0.9,145,2,1733,8,1401850,15,18,1,0,1,0,1,2
1349,2.0,62,0.3,114,5,2756,4,457024,33,31,0,1,0,0,1,2
1589,2.5,51,0.8,195,1,2612,16,1411830,16,23,0,0,0,0,1,2
1844,2.3,51,0.7,158,8,1724,14,470106,5,4,1,1,1,1,0,1
712,0.5,35,0.2,84,2,2190,4,674064,192,13,1,1,1,1,1,1
972,1.7,54,0.7,107,3,1900,19,715050,128,4,1,0,0,1,1,1
1406,0.5,34,0.8,98,3,3915,2,1389222,72,7,0,1,0,1,1,3
1289,0.9,25,1.0,178,6,1043,11,687735,12,22,0,0,1,0,1,0
932,1.3,64,0.7,154,7,3817,9,1439424,56,3,0,0,1,1,1,3
1747,0.9,48,0.7,94,3,2362,19,1071057,34,25,1,0,1,0,1,2
1172,2.1,41,0.1,95,3,1107,5,2475576,21,11,1,1,0,0,0,1
1128,1.4,53,0.4,84,5,2982,12,834330,126,26,1,0,1,0,1,3
664,1.2,28,0.9,106,5,2042,19,1128738,255,5,0,1,1,0,1,1
513,0.5,44,0.1,186,4,1343,9,536673,5,18,1,0,1,0,1,0
1742,2.3,43,0.4,170,7,2610,10,308493,36,21,0,1,0,1,1,2
1512,1.7,6,0.7,162,7,2335,7,181220,105,29,1,0,1,1,1,2
1986,0.5,51,0.1,165,8,1614,3,382956,204,23,0,1,1,1,1,1
965,1.5,13,1.0,109,2,1138,10,129740,72,19,1,1,1,0,0,0
1067,2.4,40,0.6,122,8,604,11,982566,224,18,1,1,0,0,1,0
1583,1.6,42,0.8,118,3,3652,9,237050,140,15,1,0,0,0,1,3
1653,0.5,37,0.9,176,4,3955,18,797895,76,8,0,1,1,1,1,3
1433,1.6,4,0.7,133,8,258,4,224519,99,18,0,0,1,1,1,0
765,2.9,18,0.1,153,7,1066,16,4758,11,0,0,0,1,0,1,0
1845,0.5,61,0.3,96,1,1731,6,202940,45,22,1,1,0,0,0,1
752,0.5,48,0.7,87,7,3860,16,119392,35,14,0,1,0,0,0,3
1948,2.8,16,0.1,100,5,3630,17,1224140,63,18,0,1,1,0,0,3
1077,2.5,45,1.0,174,3,1965,6,1169688,12,4,0,1,1,0,1,1
932,0.5,60,0.7,104,4,1459,19,288904,6,3,1,0,1,0,1,0
1968,0.9,22,0.8,115,3,2323,7,1083999,72,7,0,0,0,1,0,2
1122,1.2,2,0.6,120,4,3291,13,261490,22,23,0,0,1,1,1,2
1588,0.5,61,0.8,159,1,3272,17,1696016,0,13,0,0,1,0,1,3
601,2.1,26,0.3,101,4,918,12,278932,9,22,0,0,0,0,0,0
1615,0.5,15,0.1,132,4,3488,3,781232,32,30,0,0,0,1,0,3
1589,2.2,58,0.1,128,4,3961,14,1828827,224,6,1,1,0,1,1,3
1417,2.7,56,0.9,114,6,590,6,814606,33,6,1,0,0,1,1,0
1697,0.7,34,0.1,95,1,3701,8,298304,135,4,1,0,1,0,1,3
1330,1.3,3,0.3,83,5,463,11,1236760,84,31,1,1,0,1,0,0
1476,0.5,43,0.7,148,2,3644,6,3527908,150,2,0,0,0,1,1,3
1579,1.5,27,0.2,142,6,1713,10,1233204,64,18,1,0,1,1,1,1
1277,3.0,41,0.3,200,4,429,14,983180,36,3,0,0,1,1,1,0
1089,0.9,2,0.7,145,5,2765,10,800724,156,27,1,1,0,1,1,2
1663,2.5,27,0.3,169,4,2084,18,1195809,7,27,1,1,0,0,1,2
1949,1.8,20,0.8,186,5,1125,9,306656,170,4,0,0,0,0,0,1
1138,1.1,48,0.6,109,3,2048,18,414041,0,19,0,0,1,1,1,2
685,2.7,17,0.3,174,6,1223,18,630750,0,27,0,0,0,1,1,0
1889,2.8,31,1.0,132,1,3672,3,188020,5,15,0,0,1,1,1,3
857,2.0,17,0.2,195,7,3100,13,148836,85,12,1,1,1,0,1,2
1902,2.8,50,0.8,124,8,343,18,1590806,88,15,0,1,1,0,0,0
1225,2.4,15,0.1,155,5,1970,15,824880,128,0,1,0,1,0,1,1
1066,1.6,39,0.6,131,5,2728,17,635986,0,22,0,0,1,1,1,2
1554,0.5,5,1.0,124,3,3635,18,623705,28,23,1,1,0,0,0,3
1337,0.5,31,0.8,186,2,2180,16,30912,28,33,0,0,0,1,1,1
1926,1.7,33,0.4,172,3,2488,14,1136174,6,3,1,1,0,0,1,2
869,1.3,34,0.1,104,2,3864,11,257642,39,7,0,1,0,0,1,3
1278,0.5,54,0.1,104,8,1155,20,435750,7,17,1,1,0,1,0,0
1773,2.5,32,0.6,170,6,3566,13,1788480,102,34,1,0,0,1,1,3
1661,0.8,6,1.0,109,7,864,2,794178,72,3,1,1,0,1,1,1
1438,2.2,32,0.6,176,7,869,9,1135829,247,6,0,0,1,1,1,0
1661,1.4,29,0.3,119,2,591,9,461496,18,0,1,0,1,1,1,0
1846,0.6,19,0.7,159,1,1333,11,64159,90,3,1,0,1,1,0,1
1260,2.0,23,0.2,123,7,2208,10,1188265,132,12,1,1,0,1,1,2
512,0.5,15,0.9,83,3,2610,15,460401,252,22,1,1,1,1,0,2
581,2.2,59,0.7,185,5,2819,9,1295239,323,6,0,0,0,1,0,2
1872,2.3,44,0.7,134,3,1955,15,577881,36,21,1,0,0,1,1,2
687,1.3,50,0.6,151,4,3416,8,672184,84,29,1,0,1,0,1,3
1062,2.5,10,0.9,160,1,3803,16,2883972,21,19,1,1,0,1,0,3
1678,2.3,7,0.5,192,1,574,19,736934,15,25,1,1,0,0,1,0
1417,0.5,45,0.9,166,4,2129,12,374556,117,29,1,0,0,1,1,1
1074,2.4,9,0.9,103,6,1948,18,900592,13,16,0,1,1,1,1,1
1832,0.7,2,0.6,90,7,2978,18,121644,126,8,0,0,0,0,0,2
1039,1.3,12,0.8,200,8,1619,10,2608956,7,0,0,0,1,1,1,1
1059,2.4,61,0.1,134,3,3716,11,3090508,195,26,0,0,1,0,1,3
1606,1.4,57,0.1,154,4,3454,20,2168348,104,7,0,0,0,1,0,3
1928,1.8,19,1.0,187,3,3777,13,1091780,14,29,1,0,1,1,1,3
1875,0.5,55,0.7,91,1,2712,6,3499484,14,28,1,1,0,1,1,3
1128,1.1,46,0.9,135,8,1434,11,1188082,0,19,1,0,0,0,1,1
1748,1.7,14,0.5,146,3,3968,3,1060006,192,13,0,1,0,1,1,3
1413,0.5,51,0.3,117,5,3383,2,96679,80,16,0,1,0,0,0,3
825,0.5,23,0.1,86,2,3278,2,394902,48,0,0,1,0,1,1,3
1589,1.4,26,0.1,100,8,3970,18,2942807,128,19,1,0,0,1,1,3
535,0.5,54,0.5,145,8,2674,10,666690,112,23,1,1,0,0,1,2
1780,0.5,27,0.1,190,4,2776,14,1947253,323,17,1,0,1,1,1,3
1671,0.6,61,0.1,129,2,2336,7,223024,40,18,0,1,0,0,1,2
1821,0.9,12,0.3,114,1,2430,6,174891,28,27,0,0,1,1,1,2
1076,2.6,38,0.7,119,6,891,9,118035,54,11,1,0,1,0,1,0
532,0.8,8,0.1,193,5,728,8,1642402,65,13,1,1,1,0,1,0
777,2.6,30,0.9,148,5,3886,7,216027,140,20,1,0,0,0,1,3
1217,0.5,17,0.5,182,4,1711,9,396896,21,16,1,0,0,1,1,1
1656,1.6,16,1.0,117,7,2856,20,287680,42,2,1,1,1,1,1,2
1185,1.9,31,0.4,152,8,2447,3,1374354,32,7,0,0,1,1,1,2
577,2.4,37,0.9,161,6,814,19,1576150,77,28,0,0,1,1,1,0
737,2.4,49,0.6,193,4,2951,10,1142603,0,23,1,1,1,0,0,2
704,2.2,53,0.2,186,6,3653,15,254263,7,10,0,1,1,1,1,2
525,0.5,51,0.5,137,8,1891,12,415794,54,16,1,1,1,0,0,1
504,0.5,16,0.1,166,1,701,15,1277055,255,14,1,1,0,1,1,0
793,1.2,38,0.6,176,4,3139,12,2225190,6,8,0,1,1,1,1,3
569,0.6,39,0.1,184,8,2811,7,287471,42,11,0,1,0,1,1,1
1590,1.9,21,1.0,160,5,1701,4,885960,44,21,0,1,0,1,1,1
707,0.5,16,0.1,194,2,1853,12,1548716,238,0,0,0,1,1,1,1
767,1.9,19,0.2,185,6,2445,6,271000,6,33,0,0,1,1,1,1
1350,0.5,50,0.8,181,8,2287,8,200736,15,4,1,1,1,0,1,1
1117,0.6,31,0.2,146,2,2003,14,2046766,56,7,1,1,1,1,0,2
641,1.1,7,0.9,192,1,3595,19,316503,35,3,1,0,1,1,1,2
1002,0.8,35,0.5,83,2,1726,19,1904520,80,4,0,1,0,1,1,1
1408,2.1,45,0.9,89,5,3952,3,666944,48,24,1,1,0,1,0,3
1900,2.0,41,0.5,190,8,850,4,1455552,5,7,1,1,1,1,1,1
726,2.9,43,0.1,101,8,1446,8,506160,34,0,0,0,1,0,1,0
1544,2.3,45,0.1,113,8,1300,18,202252,56,32,0,0,1,0,1,1
1454,1.6,21,0.2,160,4,719,10,204600,140,16,1,0,1,1,1,0
1230,2.2,26,0.8,123,5,988,9,281216,55,13,1,1,1,1,0,0
1552,1.2,53,0.3,180,8,2606,12,282940,78,28,0,0,0,0,1,2
1519,2.1,32,0.7,200,1,2912,15,208152,110,10,0,0,1,0,1,2
723,1.9,30,0.3,102,1,2339,17,2788767,171,11,1,0,1,1,0,2
1191,2.4,13,0.9,169,1,1028,8,324527,84,9,0,1,1,1,1,0
1168,1.3,61,0.1,90,8,3173,17,250902,36,19,0,0,0,1,0,3
1229,0.5,14,0.8,191,2,1667,17,225360,102,31,0,1,0,1,0,1
1758,0.5,13,0.6,190,8,1897,15,1420368,12,25,1,0,0,0,1,2
1290,0.5,3,0.1,143,6,1214,15,665400,72,4,0,0,1,1,0,1
574,2.8,38,0.1,90,6,3269,10,334906,56,33,0,1,1,0,0,2
1271,0.5,32,0.1,113,7,445,14,2631150,210,27,1,0,0,1,0,0
1170,1.2,30,0.4,83,8,1073,8,46494,24,19,1,0,1,0,1,0
1269,1.3,52,0.8,118,2,665,5,3066240,90,29,1,0,0,0,0,1
1288,2.8,50,0.1,121,2,3129,2,2129193,102,35,0,1,0,0,0,3
1366,0.7,34,0.1,150,2,3501,3,387528,143,9,1,1,0,0,1,3
1572,0.8,8,0.8,169,5,3461,10,713749,18,15,1,1,1,1,1,3
1627,0.9,32,0.1,180,6,3206,16,56264,72,25,0,1,1,0,1,3
1701,0.5,46,0.9,115,2,3717,10,301392,0,28,1,0,1,0,1,3
1900,0.5,55,0.9,171,1,3917,18,1159094,75,1,1,1,0,1,1,3
1974,1.0,24,0.3,80,7,861,6,136250,28,17,0,0,0,1,1,0
1197,0.5,20,0.1,129,5,2885,14,365940,133,19,1,1,1,1,1,2
587,2.3,6,0.7,170,1,2777,14,1097316,18,20,1,1,1,0,1,2
934,1.1,24,0.8,112,5,1017,9,1625393,84,19,0,0,0,1,0,0
1195,2.0,23,0.1,82,4,980,17,179300,117,10,0,1,0,0,1,0
1853,1.0,23,0.4,92,1,2775,17,394102,56,17,1,0,0,0,1,3
1164,1.0,19,0.9,95,8,3309,3,1242216,45,22,0,0,0,1,1,3
1512,0.5,18,0.1,88,3,3607,6,2046863,120,25,1,0,1,1,1,3
1232,2.9,24,0.3,169,5,1257,16,292049,160,18,0,1,0,0,1,0
1813,0.6,5,0.2,198,3,759,14,441428,27,8,1,1,1,0,1,0
946,2.6,5,0.1,166,3,3720,4,3007158,105,37,1,1,1,0,0,3
739,2.3,58,0.1,88,3,475,6,1615872,42,6,1,1,0,1,1,0
704,2.7,29,0.2,80,1,1122,10,1671972,27,18,1,0,1,1,1,0
1663,0.5,40,0.6,147,4,1336,15,1469295,40,15,1,0,0,0,1,1
1966,1.4,40,0.9,185,8,1185,20,2378439,22,20,1,1,1,0,0,2
1219,1.0,17,0.7,196,5,705,6,483406,33,4,0,1,1,1,0,0
612,0.7,35,0.6,181,5,3169,6,1730078,126,18,1,0,0,0,0,2
1658,1.4,39,0.7,182,1,3483,15,214020,10,5,1,0,0,1,1,3
1263,0.5,64,0.3,175,5,1183,17,335174,42,30,0,0,0,1,0,1
1395,2.8,55,0.6,118,3,3373,16,1397434,22,1,1,0,1,0,1,3
621,2.7,54,0.1,151,4,2801,5,394940,6,20,1,1,1,1,1,2
652,0.5,58,0.6,142,3,565,9,362384,216,3,0,1,0,1,0,0
1175,0.6,25,0.1,145,2,3153,12,205637,36,22,0,0,0,0,1,2
561,1.0,11,0.1,163,8,3421,5,578592,32,10,1,0,1,1,1,2
1137,2.2,3,0.9,173,5,316,17,1606250,210,13,0,0,0,0,1,0
1835,2.3,11,0.1,193,7,448,14,224455,306,17,1,0,0,0,1,0
1170,2.9,40,0.4,169,6,2366,2,292068,128,7,0,1,1,1,1,1
1595,0.8,44,0.7,85,4,3881,9,1882112,140,20,1,1,0,1,1,3
1719,2.0,12,0.3,122,8,462,5,216960,18,7,1,0,0,0,0,0
1770,2.3,7,0.8,128,7,1480,17,1375072,6,6,0,1,0,0,1,1
1312,0.5,28,0.8,163,2,1087,14,2285982,272,0,0,1,0,0,1,1
1878,1.5,56,0.3,139,5,2711,3,102297,16,18,0,1,1,1,1,2
1871,2.0,20,0.1,81,7,2144,12,148016,156,21,1,0,1,1,1,2
922,1.5,35,0.9,188,7,1165,4,1405128,114,16,0,1,1,1,1,0
1975,1.5,16,0.9,128,8,2998,13,52400,20,17,1,0,1,0,1,2
1212,2.6,46,0.3,102,4,2249,4,1047865,42,9,0,0,1,1,1,2
1430,0.9,56,0.1,179,3,752,17,515514,136,8,1,0,0,1,0,0
1958,1.9,4,0.2,190,2,1409,3,193648,80,3,1,1,0,0,0,1
1836,2.1,30,0.2,184,7,3072,5,339480,21,15,1,1,1,0,1,3
557,1.6,24,0.5,125,3,1305,3,1487265,96,0,1,0,0,1,1,0
539,0.6,21,0.1,145,7,3597,9,330049,70,23,1,1,0,0,0,2
880,0.5,44,0.5,172,8,3132,6,567672,56,16,0,1,1,1,0,2
1369,1.8,34,0.5,162,1,3856,18,402031,72,13,1,1,1,1,0,3
1109,2.7,39,0.4,98,1,1524,7,2485717,150,10,1,1,1,1,1,1
843,1.8,16,0.1,166,5,3673,20,1075176,12,6,0,1,0,1,1,3
598,2.3,21,0.7,196,2,3293,7,797640,32,17,0,1,0,1,1,2
972,2.7,5,1.0,126,4,3035,19,560592,84,3,1,1,0,1,1,2
1944,0.5,36,0.1,197,6,584,13,2088200,238,23,1,0,1,0,1,1
1225,0.7,2,0.6,138,7,2675,15,238917,132,1,0,1,1,0,1,2
644,1.3,30,0.5,114,1,2382,19,1885560,0,23,1,1,0,1,1,2
1919,1.5,48,0.8,150,4,1391,12,362064,247,11,0,0,0,1,1,1
501,2.3,54,0.3,131,4,2346,2,548856,156,31,0,0,0,1,1,1
1620,2.2,30,0.2,185,3,606,18,859456,0,3,1,1,0,0,1,0
1227,1.1,34,0.2,130,3,1324,12,1665235,21,3,1,1,1,1,0,1
1359,0.5,58,0.5,107,6,1076,4,401846,128,4,1,1,1,1,1,0
1914,0.7,35,0.6,118,8,643,8,1602342,17,3,0,0,0,1,1,1
1645,1.8,21,0.7,123,7,783,20,1173276,80,3,1,0,0,0,1,0
1063,1.1,26,0.8,101,5,3809,5,1488256,272,2,1,0,0,1,1,3
946,2.1,19,0.2,154,8,2104,16,100170,28,0,0,0,1,0,1,1
1231,1.2,54,0.8,185,3,1762,6,748288,15,15,0,1,1,0,1,1
1397,2.9,9,0.5,87,6,3137,11,2604228,12,31,0,1,1,1,1,3
701,0.7,15,0.5,160,3,1756,17,1258512,18,18,1,0,1,1,1,1
570,0.5,9,0.3,111,7,3663,14,2551527,140,7,1,1,0,0,0,3
1993,0.5,27,0.3,147,8,2437,9,76500,0,21,1,0,0,0,1,2
955,0.5,43,0.9,143,5,1432,9,1885728,108,12,0,1,1,1,1,1
924,0.5,47,0.3,167,8,1620,12,195804,255,6,0,1,0,0,1,1
600,0.5,14,0.8,112,5,1655,9,239040,0,2,0,0,0,0,0,0
518,0.8,3,0.1,178,7,2832,8,850839,0,1,0,1,0,1,1,2
1063,2.5,31,0.9,95,6,961,5,275825,96,10,1,0,1,0,1,0
920,0.5,46,0.8,149,3,2608,2,1503418,0,5,1,0,0,1,0,2
1715,1.9,3,0.1,171,5,514,13,130508,28,10,0,0,0,0,1,0
1841,1.3,14,0.6,167,8,2304,18,398496,7,14,1,1,0,1,0,2
543,0.5,60,0.7,132,5,933,5,714483,0,11,1,1,1,0,1,0
1762,2.7,25,0.9,189,1,1896,20,158100,140,27,1,1,1,1,1,1
1112,0.5,53,0.6,121,4,3655,20,172926,21,17,1,1,1,0,1,3
709,2.0,35,0.1,136,1,1973,16,2465820,108,0,1,1,1,1,0,1
1315,2.6,64,0.8,128,7,3278,13,33925,18,23,1,0,0,0,0,2
1762,2.5,15,0.3,107,8,2183,11,1504492,24,21,1,0,1,0,1,2
1462,1.7,25,0.2,182,7,824,13,134498,75,19,1,1,0,1,1,0
571,1.6,35,0.2,186,7,2598,8,226914,65,28,0,1,1,0,1,1
666,0.5,54,0.4,81,3,1254,9,78474,135,20,1,1,1,1,1,0
1994,1.5,7,0.5,146,8,3622,20,641445,0,9,0,1,0,1,1,3
1583,2.1,14,0.7,148,7,1704,2,1555242,221,27,1,1,0,1,1,2
1778,1.4,45,1.0,132,4,1624,9,45408,195,20,0,1,1,0,1,1
1926,1.1,50,0.2,179,6,3809,17,371000,204,30,1,0,1,0,1,3
966,0.6,50,0.2,117,4,2574,5,2536284,10,19,1,0,0,1,1,2
568,2.0,36,0.3,179,3,950,9,308243,153,5,0,0,0,0,1,0
1897,3.0,21,0.5,192,8,273,3,2536785,102,3,0,0,1,1,1,0
1695,0.5,46,0.7,200,3,446,15,3399318,208,15,0,1,1,1,1,1
1623,1.2,61,0.9,120,7,1510,17,2872576,120,18,1,0,1,0,1,2
914,0.5,26,0.7,147,4,1122,2,509026,108,0,1,0,1,1,1,0
1721,0.5,33,0.5,128,4,707,5,912808,38,9,1,1,1,1,1,0
890,2.2,44,0.5,198,8,751,3,2011602,21,17,1,1,0,0,0,0
600,0.5,48,0.8,191,3,3393,8,733965,84,8,0,0,0,0,1,2
1677,1.8,11,0.7,124,6,3771,12,400267,90,12,0,1,0,0,1,3
723,0.5,3,0.2,168,4,1851,16,1608160,45,3,0,0,0,0,1,1
638,1.7,27,0.5,102,4,2735,9,1619493,14,28,0,1,1,0,1,2
852,1.0,62,0.7,104,7,2253,7,339587,68,17,0,1,1,0,1,1
1979,1.6,32,0.2,165,7,452,14,1357790,78,1,1,1,1,0,0,0
710,0.5,32,0.8,151,5,1419,18,415645,132,15,1,0,1,0,0,0
1034,2.6,45,0.3,190,3,969,7,235326,15,6,0,1,0,0,1,0
600,2.5,22,0.1,145,1,3441,5,240534,19,19,0,1,0,0,1,2
1027,0.5,64,0.9,103,2,3786,12,2966406,204,9,0,0,0,0,1,3
1260,0.6,13,1.0,106,6,2710,8,121440,13,11,0,0,1,0,1,2
